City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ust-nera,64.5667,143.2,-35.41,100,99,0.37,RU,1675493274
84,klaeng,12.7797,101.6483,35.21,66,33,4.13,TH,1675493274
85,henties bay,-22.116,14.2845,17.84,86,100,1.17,NA,1675493275
86,port lincoln,-34.7333,135.8667,19.26,59,61,5.83,AU,1675493275
87,severo-kurilsk,50.6789,156.125,-2.63,83,100,5.83,RU,1675493276
88,the valley,18.217,-63.0578,25.46,77,6,8.15,AI,1675493276
89,ixtapa,20.7,-105.2,21.79,85,97,0.56,MX,1675493277
90,touros,-5.1989,-35.4608,26.12,74,100,5.19,BR,1675493277
91,olafsvik,64.8945,-23.7142,0.04,66,91,18.94,IS,1675493278
92,mogadishu,2.0371,45.3438,26.93,69,75,8.23,SO,1675493278
93,bantry,51.6833,-9.45,9.88,84,100,4.63,IE,1675493278
94,cerkezkoy,41.285,28.0003,4.1,87,75,5.66,TR,1675493279
95,pasni,25.2631,63.471,22.34,62,0,2.76,PK,1675493279
96,hirara,24.8,125.2833,19.92,77,75,5.14,JP,1675493279
97,naze,28.3667,129.4833,15.51,66,100,6.34,JP,1675493280
98,avarua,-21.2078,-159.775,27.03,83,20,4.63,CK,1675493280
99,qaanaaq,77.484,-69.3632,-19.91,60,46,3.3,GL,1675493281
100,constitucion,-35.3333,-72.4167,14.78,94,8,2.75,CL,1675493281
101,fare,-16.7,-151.0167,27.24,75,100,9.47,PF,1675493281
102,nikolskoye,59.7035,30.7861,-2.9,94,100,3.31,RU,1675493282
103,ponta do sol,32.6667,-17.1,15.56,63,9,2.89,PT,1675493283
104,pangnirtung,66.1451,-65.7125,-34.61,92,100,0.55,CA,1675493283
105,beloha,-25.1667,45.05,30.46,47,95,4.36,MG,1675493284
106,barrow,71.2906,-156.7887,-26.99,76,100,4.63,US,1675493284
107,kapaa,22.0752,-159.319,23.99,93,100,8.75,US,1675493070
108,nanortalik,60.1432,-45.2371,-12.3,72,42,4.1,GL,1675493285
109,belaya gora,68.5333,146.4167,-25.46,99,100,1.94,RU,1675493285
110,los algarrobos,8.5,-82.4333,21.88,71,100,2.78,PA,1675493286
111,provideniya,64.3833,-173.3,-23.73,89,93,5.74,RU,1675493286
112,hasaki,35.7333,140.8333,10.12,77,72,2.89,JP,1675493287
113,vila,42.0304,-8.1588,0.49,69,0,1.82,PT,1675493288
114,usak,38.5,29.4167,-8.01,72,100,1.46,TR,1675493288
115,fortuna,40.5982,-124.1573,10.52,85,0,6.17,US,1675493223
116,coihaique,-45.5752,-72.0662,16.34,72,0,4.12,CL,1675493048
117,cesis,57.3119,25.2746,-4.04,91,100,3.93,LV,1675493289
118,natchez,31.5604,-91.4032,2.69,83,0,2.57,US,1675493289
119,limbang,4.75,115.0,30.06,60,100,2.2,MY,1675493290
120,den helder,52.9599,4.7593,6.66,93,100,1.54,NL,1675493290
121,zhuhai,22.2769,113.5678,21.03,82,40,2.57,CN,1675493291
122,ancud,-41.8697,-73.8203,13.98,79,0,0.95,CL,1675493292
123,melfi,40.9965,15.6514,8.05,91,97,3.3,IT,1675493292
124,faya,18.3851,42.4509,17.06,42,95,3.84,SA,1675493293
125,van,38.4924,43.3831,-7.36,53,75,3.09,TR,1675493293
126,kruisfontein,-34.0033,24.7314,25.49,62,23,5.3,ZA,1675493294
127,lazarev,52.225,141.5131,-22.87,96,14,2.4,RU,1675493295
128,cidreira,-30.1811,-50.2056,21.64,93,81,5.46,BR,1675493295
129,hornepayne,49.2138,-84.7705,-18.26,95,100,3.17,CA,1675493296
130,changji,44.0167,87.3167,-2.56,63,99,1.0,CN,1675493296
131,deniliquin,-35.5333,144.9667,25.39,27,27,6.08,AU,1675493297
132,zhigansk,66.7697,123.3711,-40.06,96,65,4.97,RU,1675493298
133,gamba,-2.65,10.0,26.73,83,100,2.68,GA,1675493298
134,kinel,53.2333,50.65,-9.42,95,100,3.11,RU,1675493299
135,lata,40.1629,-8.3327,3.78,66,0,1.91,PT,1675493300
136,bethel,41.3712,-73.414,-15.07,53,0,7.2,US,1675493301
137,sterling,39.0062,-77.4286,-8.0,50,0,4.12,US,1675493301
138,tasiilaq,65.6145,-37.6368,-1.91,94,100,6.76,GL,1675493302
139,tibacuy,4.3511,-72.4564,23.97,50,14,2.62,CO,1675493303
140,saint-philippe,-21.3585,55.7679,28.77,84,82,5.33,RE,1675493303
141,lokosovo,61.1333,74.8167,-12.65,93,22,2.4,RU,1675493304
142,kasangulu,-4.5911,15.1708,23.52,82,69,0.93,CD,1675493304
143,inta,66.0317,60.1659,-10.15,95,100,2.39,RU,1675493305
144,tessalit,20.1986,1.0114,10.72,26,82,4.71,ML,1675493306
145,olean,42.0776,-78.4297,-13.52,90,100,2.53,US,1675493155
146,veraval,20.9,70.3667,26.9,30,0,1.76,IN,1675493307
147,mahebourg,-20.4081,57.7,29.58,74,40,4.63,MU,1675493307
148,westerland,54.9079,8.3033,1.01,93,100,3.6,DE,1675493308
149,ossora,59.2353,163.0719,-15.65,94,100,2.19,RU,1675493308
150,kamaishi,39.2667,141.8833,1.88,82,100,2.47,JP,1675493308
151,tilichiki,60.4667,166.1,-23.03,96,19,3.8,RU,1675493309
152,puquio,-14.7,-74.1333,8.95,90,100,2.18,PE,1675493309
153,bilma,18.6853,12.9164,18.85,17,21,3.64,NE,1675493310
